track_id,class,n_points,lifetime_frames,turning_points,A,B,C,rmse,normalized_rmse,r2,endpoint_ratio,tau_apex,apex_inside
0,A,15,15,1,-0.816758669253993,1.6108224011216496,6.582093042166114,0.028417078923427076,0.010694303492786923,0.9987296198664914,1.125992377284009,0.9861067055418797,True
1,B,5,5,0,-0.7668252228561362,1.5808776704904848,6.0276308904966704,0.005563328500894779,0.007231122063008022,0.9996008294402916,1.0,1.0307939954050473,False
2,D,17,17,1,-0.8977623859358594,2.620480226850275,5.591928851904797,0.08568042956084057,0.03230072217627938,0.9888180876574841,1.2536880498101395,1.4594508902924204,True
3,E,11,11,2,-0.28515072123525287,0.34520284063596934,5.947422461914019,0.15037612475185094,0.1617179011876776,0.5735682039045447,1.3251425180201597,0.6052989084870186,True
5,A,10,10,1,-0.8563332985085605,0.45211171880736745,6.435624764733976,0.007501424984043094,0.0036913344651100933,0.9998759354010549,2.255974327756586,0.263981162238343,True
6,E,4,4,0,-0.48084191486071487,-2.576361810974042,7.166250185633517,0.007690355902557744,0.004491928317752291,0.9998560339750965,1.0,-2.6790112626936184,False
7,B,5,5,0,1.941141758532772,-3.550369118399579,7.603700386947082,0.11965043994171204,0.07658416752205521,0.9591414024694314,1.0,0.9145053685010504,False
8,B,13,13,0,-0.288644261429729,-0.94382539162572,10.811461639878173,0.263128284247944,0.06885840403663636,0.9608552650417651,2.599039410236313,-1.6349283837321258,False
9,E,3,3,0,-1.0690129212218504,-2.10915223610606,6.526528047998683,2.235200005905454e-15,2.2028250037977796e-15,1.0,1.0,-0.9864952023663852,False
10,D,22,22,1,-0.4544918163753352,2.796888704944783,4.699431869615575,0.36833697963703144,0.09328646919507297,0.908506658365151,1.5864293464118953,3.076940666666498,True
11,B,6,6,0,-0.586276551923191,2.3033124967225285,4.888537460187726,0.006738328804037732,0.003920282423624149,0.999869310579309,0.2844933436377474,1.9643566582757426,False
12,E,3,3,0,-0.45181340777229173,0.9067518411252181,5.241713614456864,1.8488908177493114e-15,6.366495615869184e-15,1.0,1.0,1.0034583143471139,False
13,A,16,16,1,-0.8134507232859256,2.0113079206502897,6.82599638095605,0.016422753505647498,0.006569624967122923,0.9994955883993865,1.5066195285173403,1.2362813524374485,True
14,E,4,4,0,-1.0186891949573695,-2.36427547757867,7.249265078888783,0.0023900419175888537,0.0013403463101688737,0.999987144385559,1.0,-1.1604498650236548,False
15,D,12,12,1,-0.6239489624291865,0.27704056572344266,10.665021500543112,0.09479138973990052,0.040499258808099764,0.9861864140476735,1.0319974213493388,0.222005790862169,True
16,E,18,18,2,0.34912233402434867,-2.5393962127408978,9.40137065189631,0.2783343297483168,0.06976392530323498,0.964111132279973,1.0214081773581734,3.6368286489568926,False
17,B,9,9,0,-0.3603347821462802,-1.0699857645279804,8.12890722597775,0.028116129997164358,0.010506990012188794,0.9989183489431357,0.6480981446593876,-1.484710632366338,False
18,E,31,31,6,-0.02549699554267345,0.020303594880212272,5.885842168991823,0.16678289108297037,0.13252267379833374,0.7163096005055687,1.1371948369990061,0.39815661508491934,True
19,D,17,17,1,-0.8041654463091876,2.8483177288818418,5.505175056250537,0.07342312425497276,0.029919526555683106,0.990194788133133,1.0418235832209826,1.7709774412432993,True
20,A,15,15,1,-1.0332337303776231,2.954617163190264,6.106401778896689,0.04293468224892955,0.019780763348611067,0.9961146423829271,2.23173909127819,1.429791283580347,True
21,C,22,22,1,-0.786052728939315,2.7605036221338,6.7074182857863045,0.2212268207124985,0.045044226250388925,0.9762852948657726,2.950130037783011,1.7559277644508482,True
22,D,13,13,1,-0.649037485168029,1.4255387233160663,6.1462400067830085,0.04768522986114054,0.04354224195571765,0.9803722382483964,0.8463106191561555,1.0981944463092217,True
23,A,9,9,1,-0.9957529314337717,2.2088475333895157,5.742032306310225,0.023185810124605057,0.019023893495143763,0.9965517735991235,1.3382917369304481,1.1091343362700548,True
24,E,3,3,0,2.931466353611459,-2.2672547361424793,5.1414793913045,1.538370149106851e-15,3.5133289647108924e-15,1.0,1.0,0.3867100049347837,True
25,D,18,18,1,-0.9313795678462589,3.087251973688076,5.838332692014939,0.07022601323901795,0.025755695250701944,0.9939018166288813,1.4779610772166898,1.6573543592045403,True
26,A,11,11,1,-0.6399453222376122,0.18902891023858298,8.055996974576846,0.04154560931465801,0.01970992211540861,0.9967361432318963,2.8464349686221686,0.14769145399612468,True
28,A,9,9,1,-0.796616223319254,0.7017694297738645,5.882112661538056,0.012733795875261498,0.011920480194891416,0.9986753632373305,0.4805332411219795,0.44046895432897903,True
30,A,21,21,1,-0.8383878107626058,3.372413575654213,7.6480145351792705,0.03410742951396422,0.008564717530852983,0.999202701101711,2.22990267582564,2.0112491691563554,True
31,A,14,14,1,-0.8539714188643314,1.9391716792060034,5.996158350022854,0.01434980555732636,0.00788554067766034,0.9993002862025666,0.48724597952604365,1.1353844147295025,True
33,D,22,22,1,-0.39796230929240495,1.39152398518075,7.9768060114755315,0.24042129064169024,0.10463168593352991,0.8867356191879593,1.3577895615018465,1.7483112755765022,True
34,D,6,6,1,-0.603542701316978,0.5561974498989568,5.616002857576677,0.03135004301356013,0.14692875090623778,0.7982249532179995,0.6022428971705827,0.4607772148393891,True
35,D,8,8,1,-3.7053618839546747,5.613821898566502,5.139677720369923,0.13392682163245082,0.06147668946465487,0.9653350096248535,0.9019614715592935,0.7575268049898216,True
36,D,9,9,1,-0.8705469428142278,2.1763939800136263,5.125282667204275,0.3681656450584396,0.19081520683513725,0.6022106460145711,0.5753258241639866,1.250015290949142,True
37,D,6,6,1,-4.039941175926206,4.284931961489176,5.281185457207892,0.22824762648180968,0.1806278154479809,0.7648883797079722,0.7917870201929814,0.5303210832651298,True
38,B,7,7,0,-0.6446658916980111,-1.0153828773152302,7.575886861324472,0.016133641779132176,0.0075944266081904,0.999499725355708,0.6317397011333099,-0.7875264461725847,False
39,A,15,15,1,-0.8358865449649796,1.9385448070246218,6.370268409738796,0.04545299510484362,0.02047393553774827,0.9951970535313247,1.205142762714457,1.1595741184623563,True
