track_id,class,fit_status,fit_method,n_points,n_used,A,B,C,initial_velocity_km_s,acceleration_km_s2,deceleration_km_s2,apex_time_sec,apex_height_Mm,rmse_Mm,r2,apex_inside_window,n_trimmed,n_outliers_removed,reject_reason
0,D,rejected,,,,,,,,,,,,,,,,,
1,A,accepted,direct,10.0,10.0,-0.08845571514216719,2.8061711446670636,8776.488511371337,2.8061711446670636,-0.17691143028433437,0.17691143028433437,15.862011517045273,8.79874427087909,0.0151760412144798,0.9996367372970734,True,0.0,0.0,
3,C,rejected,,,,,,,,,,,,,,,,,
4,C,rejected,,,,,,,,,,,,,,,,,
5,B,rejected,,,,,,,,,,,,,,,,,positive_acceleration
6,A,accepted,direct,12.0,12.0,-0.13302401157106242,5.727939675178654,10325.580928703146,5.727939675178654,-0.26604802314212483,0.26604802314212483,21.5297208659158,10.387241399874847,0.03766996860123225,0.9995201261268667,True,0.0,0.0,
7,A,accepted,direct,13.0,13.0,-0.11699057710405501,23.914032024766055,7057.918128268184,23.914032024766055,-0.23398115420811003,0.23398115420811003,102.20494939304461,8.279984344705616,0.04449100562616571,0.9954631038515009,True,0.0,0.0,
8,A,accepted,direct,10.0,10.0,-0.1656833282911696,15.218378622977802,8378.087047758112,15.218378622977802,-0.3313666565823392,0.3313666565823392,45.92610125574382,8.727547446551675,0.021447569602834334,0.9995086680089568,True,0.0,0.0,
9,B,accepted,partial,6.0,6.0,-0.11165880675611266,2.656731473665777,6450.093980225864,2.656731473665777,-0.22331761351222532,0.22331761351222532,11.896649941229722,6.465897082390889,0.0441430857725377,0.9802836841573705,True,0.0,0.0,
10,B,rejected,,,,,,,,,,,,,,,,,positive_acceleration
11,A,accepted,direct,11.0,11.0,-0.14699826777981587,11.699937519927166,8626.474808289351,11.699937519927166,-0.29399653555963173,0.29399653555963173,39.79617480068588,8.859281187639413,0.0041598873415710415,0.9999886363260652,True,0.0,0.0,
12,A,accepted,direct,10.0,10.0,-0.12081745963540169,2.369907267183099,8191.414931397714,2.369907267183099,-0.24163491927080338,0.24163491927080338,9.807801266203224,8.203036721145645,0.07407463132340203,0.9959886008204191,True,0.0,0.0,
13,E,rejected,,,,,,,,,,,,,,,,,
14,E,rejected,,,,,,,,,,,,,,,,,
15,C,rejected,,,,,,,,,,,,,,,,,
16,B,rejected,,,,,,,,,,,,,,,,,negative_v0
17,A,accepted,direct,10.0,10.0,-0.1309780166232057,25.987408192177103,6001.912364726316,25.987408192177103,-0.2619560332464114,0.2619560332464114,99.20522871764439,7.290955751468172,0.007945361476902788,0.9996154868447239,True,0.0,0.0,
18,B,rejected,,,,,,,,,,,,,,,,,negative_v0
19,D,rejected,,,,,,,,,,,,,,,,,
20,A,accepted,direct,5.0,5.0,-0.18114563087744903,6.955880430625507,6610.387554891193,6.955880430625507,-0.36229126175489806,0.36229126175489806,19.199691422122648,6.677162933809789,0.005094813763547109,0.9995685135088744,True,0.0,0.0,
21,D,rejected,,,,,,,,,,,,,,,,,
22,C,rejected,,,,,,,,,,,,,,,,,
23,C,rejected,,,,,,,,,,,,,,,,,
24,D,rejected,,,,,,,,,,,,,,,,,
25,D,rejected,,,,,,,,,,,,,,,,,
26,D,rejected,,,,,,,,,,,,,,,,,
27,C,rejected,,,,,,,,,,,,,,,,,
28,D,rejected,,,,,,,,,,,,,,,,,
29,E,rejected,,,,,,,,,,,,,,,,,
30,E,rejected,,,,,,,,,,,,,,,,,
32,A,accepted,direct,13.0,13.0,-0.14098742765348135,20.15942526371501,7452.301781262378,20.15942526371501,-0.2819748553069627,0.2819748553069627,71.49369840714738,8.172937716195113,0.06901013472718746,0.9969119189737476,True,0.0,0.0,
33,A,accepted,direct,8.0,8.0,-0.14748128000151903,9.672197590636772,7701.868470169915,9.672197590636772,-0.29496256000303805,0.29496256000303805,32.79127218904376,7.860450302100307,0.011236561586435248,0.9996128867511629,True,0.0,0.0,
34,B,rejected,,,,,,,,,,,,,,,,,negative_v0
35,A,accepted,direct,10.0,10.0,-0.14628710165110118,22.193662312986948,6761.312693265537,22.193662312986948,-0.29257420330220235,0.29257420330220235,75.85652481487894,7.603079741254605,0.029459526281598505,0.9963560561570685,True,0.0,0.0,
36,B,rejected,,,,,,,,,,,,,,,,,negative_v0
37,E,rejected,,,,,,,,,,,,,,,,,
38,C,rejected,,,,,,,,,,,,,,,,,
39,B,accepted,partial,8.0,8.0,-0.032174910064142914,27.19930410945843,5638.131975396628,27.19930410945843,-0.06434982012828583,0.06434982012828583,422.67879001424916,11.38641645050437,0.14933410293748844,0.9798620107411633,True,0.0,0.0,
40,E,rejected,,,,,,,,,,,,,,,,,
41,C,rejected,,,,,,,,,,,,,,,,,
42,A,accepted,direct,9.0,9.0,-0.13359100748736694,16.165209215938134,7606.500204482966,16.165209215938134,-0.2671820149747339,0.2671820149747339,60.502609868657515,8.095518877801531,0.010833586127516346,0.9993104375269435,True,0.0,0.0,
43,A,accepted,direct,17.0,17.0,-0.1504963037424189,48.61440560386733,6269.913239355597,48.61440560386733,-0.3009926074848378,0.3009926074848378,161.51361991944017,10.195857554011862,0.07703812145213307,0.9964256553544254,True,0.0,0.0,
44,C,rejected,,,,,,,,,,,,,,,,,
45,E,rejected,,,,,,,,,,,,,,,,,
46,C,rejected,,,,,,,,,,,,,,,,,
47,C,rejected,,,,,,,,,,,,,,,,,
48,D,rejected,,,,,,,,,,,,,,,,,
49,C,rejected,,,,,,,,,,,,,,,,,
50,A,accepted,direct,9.0,9.0,-0.14977922141292024,30.15944606829287,5856.056084837191,30.15944606829287,-0.2995584428258405,0.2995584428258405,100.67967300066115,7.3742776688555915,0.006113231740436705,0.9998340582970927,True,0.0,0.0,
51,A,accepted,direct,8.0,8.0,-0.10525580152025357,20.607566297676843,6604.543675369975,20.607566297676843,-0.21051160304050714,0.21051160304050714,97.8927812055637,7.613209664748789,0.008450031523562484,0.9993491008083588,True,0.0,0.0,
52,C,rejected,,,,,,,,,,,,,,,,,
53,D,rejected,,,,,,,,,,,,,,,,,
54,A,accepted,direct,8.0,8.0,-0.12078513071391628,19.335359450761278,6649.379739853649,19.335359450761278,-0.24157026142783256,0.24157026142783256,80.04031347433708,7.423183855642608,0.008524641950739889,0.9991754764168745,True,0.0,0.0,
55,C,rejected,,,,,,,,,,,,,,,,,
56,C,rejected,,,,,,,,,,,,,,,,,
57,A,accepted,direct,9.0,9.0,-0.13306072663106788,5.3884146157013655,7230.214980887024,5.3884146157013655,-0.26612145326213577,0.26612145326213577,20.247952766114096,7.284767163198504,0.007663828882907276,0.9999238476440977,True,0.0,0.0,
58,A,accepted,direct,15.0,15.0,-0.13178024146217762,30.660961971023486,7439.433699705813,30.660961971023486,-0.26356048292435524,0.26356048292435524,116.33368413512704,9.222885032313906,0.0381540291025967,0.9986216248794222,True,0.0,0.0,
